       41       21       45
   1.00000
 300.00000 293.25321 286.50774 279.76489 273.02597 266.29228 259.56509
 252.84568 246.13532 239.43525 232.74672 226.07101 219.40937 212.76310
 206.13357 199.52219 192.93049 186.36015 179.81302 173.29124 166.79728
 160.33406 153.90513 147.51482 141.16856 134.87325 128.63779 122.47394
 116.39751 110.43028 104.60311  98.96114  93.57320  88.54983  84.08122
  80.52683  78.65908  80.43699  91.84917 134.69895 300.00000 300.00000
 293.25321 286.50774 279.76489 273.02597 266.29228 259.56509 252.84568
 246.13532 239.43525 232.74672 226.07101 219.40937 212.76310 206.13357
 199.52219 192.93049 186.36015 179.81302 173.29124 166.79728 160.33406
 153.90513 147.51482 141.16856 134.87325 128.63779 122.47394 116.39751
 110.43028 104.60311  98.96114  93.57320  88.54983  84.08122  80.52683
  78.65908  80.43699  91.84917 134.69895 300.00000 300.00000 293.25321
 286.50774 279.76489 273.02597 266.29228 259.56509 252.84568 246.13532
 239.43525 232.74672 226.07101 219.40937 212.76310 206.13357 199.52219
 192.93049 186.36015 179.81302 173.29124 166.79728 160.33406 153.90513
 147.51482 141.16856 134.87325 128.63779 122.47394 116.39751 110.43028
 104.60311  98.96114  93.57320  88.54983  84.08122  80.52683  78.65908
  80.43699  91.84917 134.69895 300.00000 300.00000 293.25321 286.50774
 279.76489 273.02597 266.29228 259.56509 252.84568 246.13532 239.43525
 232.74672 226.07101 219.40937 212.76310 206.13357 199.52219 192.93049
 186.36015 179.81302 173.29124 166.79728 160.33406 153.90513 147.51482
 141.16856 134.87325 128.63779 122.47394 116.39751 110.43028 104.60311
  98.96114  93.57320  88.54983  84.08122  80.52683  78.65908  80.43699
  91.84917 134.69895 300.00000 300.00000 293.25321 286.50774 279.76489
 273.02597 266.29228 259.56509 252.84568 246.13532 239.43525 232.74672
 226.07101 219.40937 212.76310 206.13357 199.52219 192.93049 186.36015
 179.81302 173.29124 166.79728 160.33406 153.90513 147.51482 141.16856
 134.87325 128.63779 122.47394 116.39751 110.43028 104.60311  98.96114
  93.57320  88.54983  84.08122  80.52683  78.65908  80.43699  91.84917
