second T_ave
 20100 20.000
 20150 20.000
 20200 20.000
 20250 20.000
 20300 20.000
 20350 20.000
 20400 20.000
 20450 20.000
 20500 20.000
 20550 20.000
 20600 20.000
 20650 20.000
 20700 20.000
 20750 20.000
 20800 20.000
 20850 20.000
 20900 20.000
 20950 20.000
 21000 20.000
 21050 20.000
 21100 20.000
 21150 20.000
 21200 20.000
 21250 20.000
 21300 20.000
 21350 20.000
 21400 20.000
 21450 20.000
 21500 20.000
 21550 20.000
 21600 20.000
 21650 20.000
 21700 20.000
 21750 20.000
 21800 20.000
 21850 20.000
 21900 20.000
 21950 20.000
 22000 20.000
 22050 20.000
 22100 20.000
 22150 20.000
 22200 20.000
 22250 20.000
 22300 20.000
 22350 20.000
 22400 20.000
 22450 20.000
 22500 20.000
 22550 20.000
 22600 20.000
 22650 20.000
 22700 20.000
 22750 20.000
 22800 20.000
 22850 20.000
 22900 20.000
 22950 20.000
 23000 20.000
 23050 20.000
 23100 20.000
 23150 20.000
 23200 20.000
 23250 20.000
 23300 20.000
 23350 20.000
 23400 20.000
 23450 20.000
 23500 20.000
 23550 20.000
 23600 20.000
 23650 20.000
 23700 20.000
 23750 20.000
 23800 20.000
 23850 20.000
 23900 20.000
 23950 20.000
 24000 20.000
 24050 20.000
 24100 20.000
 24150 20.000
 24200 20.000
 24250 20.000
 24300 20.000
 24350 20.000
 24400 20.000
 24450 20.000
 24500 20.000
 24550 20.000
 24600 20.000
 24650 20.000
 24700 20.000
 24750 20.000
 24800 20.000
 24850 20.000
 24900 20.000
 24950 20.000
 25000 20.000
 25050 20.000
 25100 20.000
 25150 20.000
 25200 20.000
 25250 20.000
 25300 20.000
 25350 20.000
 25400 20.000
 25450 20.000
 25500 20.000
 25550 20.000
 25600 20.000
 25650 20.000
 25700 20.000
 25750 20.000
 25800 20.000
 25850 20.000
 25900 20.000
 25950 20.000
 26000 20.000
 26050 20.000
 26100 20.000
 26150 20.000
 26200 20.000
 26250 20.000
 26300 20.000
 26350 20.000
 26400 20.000
 26450 20.000
 26500 20.000
 26550 20.000
 26600 20.000
 26650 20.000
 26700 20.000
 26750 20.000
 26800 20.000
 26850 20.000
 26900 20.000
 26950 20.000
 27000 20.000
 27050 20.000
 27100 20.000
 27150 20.000
 27200 20.000
 27250 20.000
 27300 20.000
 27350 20.000
 27400 20.000
 27450 20.000
 27500 20.000
 27550 20.000
 27600 20.000
 27650 20.000
 27700 20.000
 27750 20.000
 27800 20.000
 27850 20.000
 27900 20.000
 27950 20.000
 28000 20.000
 28050 20.000
 28100 20.000
 28150 20.000
 28200 20.000
 28250 20.000
 28300 20.000
 28350 20.000
 28400 20.000
 28450 20.000
 28500 20.000
 28550 20.000
 28600 20.000
 28650 20.000
 28700 20.000
 28750 20.000
 28800 20.000
 28850 20.000
 28900 20.000
 28950 20.000
 29000 20.000
 29050 20.000
 29100 20.000
 29150 20.000
 29200 20.000
 29250 20.000
 29300 20.000
 29350 20.000
 29400 20.000
 29450 20.000
 29500 20.000
 29550 20.000
 29600 20.000
 29650 20.000
 29700 20.000
 29750 20.000
 29800 20.000
 29850 20.000
 29900 20.000
 29950 20.000
 30000 20.000
